Issue Status,Date,issueTitle,Description,Location
Active,December,"Need Asisstance"" can't connect to Email",urgent cant work,Main Office
Active,March,I forgot My password,urgent cant work,Main Office
Active,November,"Need Asisstance"" can't connect to Email",urgent cant work,remote site
Active,February,why is my email not worrking,this is weird come help,remote site
New,August,why is my email not worrking,urgent cant work,remote site
New,April,I forgot My password,Just help me,Main Office
Resolved,April,Missing Files in SharePoint,this is weird come help,remote site
New,May,why is my email not worrking,urgent cant work,Main Office
New,January,I forgot My password,this is weird come help,remote site
New,March,Excel Issues,urgent cant work,remote site
Active,October,Excel Issues,urgent cant work,remote site
New,April,"Need Asisstance"" can't connect to Email",this is weird come help,Main Office
New,September,"Need Asisstance"" can't connect to Email",urgent cant work,remote site
Active,December,Excel Issues,call me!!,Main Office
Resolved,July,why is my email not worrking,call me!!,Main Office
New,May,Missing Email,this is weird come help,Main Office
Resolved,April,I forgot My password,this is weird come help,remote site
Resolved,June,I forgot My password,this is weird come help,remote site
Resolved,October,I forgot My password,Just help me,remote site
Active,April,why is my email not worrking,this is weird come help,remote site
Resolved,July,why is my email not worrking,this is weird come help,remote site
New,June,why is my email not worrking,urgent cant work,Main Office
New,August,Missing Files in SharePoint,this is weird come help,remote site
New,February,I forgot My password,Just help me,Main Office
Active,April,Missing Email,Just help me,remote site
Active,May,Missing Email,this is weird come help,Main Office
New,September,Missing Email,urgent cant work,Main Office
Resolved,November,Excel Issues,call me!!,remote site
New,November,Missing Files in SharePoint,this is weird come help,remote site
New,August,Missing Email,call me!!,remote site
